Nama,Harga,Terjual,Kota,Link
SUPERMES 300ML 100%ORI PUPUK CAIR ORGANIK EFEKTIFITAS TINGGI,Rp25.000,282 Terjual,KAB. PONOROGO,https://shopee.co.id/SUPERMES-300ML-100-ORI-PUPUK-CAIR-ORGANIK-EFEKTIFITAS-TINGGI-i.374377773.5580173522?sp_atk=f1ef6d60-30a3-47d7-bf23-6311ee126734&xptdk=f1ef6d60-30a3-47d7-bf23-6311ee126734
BOPHO-KAL ( PUPUK SEMI ORGANIK CAIR ) KEMASAN 1L PER BOTOL,Rp190.000,8 Terjual,KAB. BANYUMAS,https://shopee.co.id/BOPHO-KAL-(-PUPUK-SEMI-ORGANIK-CAIR-)-KEMASAN-1L-PER-BOTOL-i.931764441.19172628867?sp_atk=535f47ef-1d1f-4fde-b624-f2df60709673&xptdk=535f47ef-1d1f-4fde-b624-f2df60709673
Pupuk Organik Cair Bioboost 1 liter original,Rp125.000,8 Terjual,KAB. BOJONEGORO,https://shopee.co.id/Pupuk-Organik-Cair-Bioboost-1-liter-original-i.73192701.12003407141?sp_atk=255d8921-2d9a-4288-a1f4-19526fbfb4f9&xptdk=255d8921-2d9a-4288-a1f4-19526fbfb4f9
Pupuk Cair Organik Kilat 1L,Rp180.000,82 Terjual,KAB. KEDIRI,https://shopee.co.id/Pupuk-Cair-Organik-Kilat-1L-i.28968258.18249042991?sp_atk=d59da712-df03-47c9-a628-349b86f8a271&xptdk=d59da712-df03-47c9-a628-349b86f8a271
PUPUK ORGANIK CAIR KILAT @1LTR,Rp180.000,118 Terjual,KOTA MEDAN,https://shopee.co.id/PUPUK-ORGANIK-CAIR-KILAT-1LTR-i.779843364.19405416814?sp_atk=641aecc3-6b79-407f-8cca-62e8d93204d2&xptdk=641aecc3-6b79-407f-8cca-62e8d93204d2
Pupuk Cair Penambah Bobot Padi dan Anti Hama Tikus Ricetop 1 Liter,Rp50.000,"1,6RB Terjual",KAB. MADIUN,https://shopee.co.id/Pupuk-Cair-Penambah-Bobot-Padi-dan-Anti-Hama-Tikus-Ricetop-1-Liter-i.95689238.2596562845?sp_atk=f5cb5b0c-9618-4912-b096-98a4b88f439d&xptdk=f5cb5b0c-9618-4912-b096-98a4b88f439d
"Pupuk Organik Cair Untuk Fase Pembuahan, Tanah Subur Dan Daun 500ml",Rp35.000,17 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Pupuk-Organik-Cair-Untuk-Fase-Pembuahan-Tanah-Subur-Dan-Daun-500ml-i.159702814.18131962827?sp_atk=b3f373e5-55b4-4f12-991d-be1569339067&xptdk=b3f373e5-55b4-4f12-991d-be1569339067
Pupuk Organik Cair Vit O Kemasan Pabrik 5 Liter Jepang,Rp180.000,8 Terjual,KOTA JAKARTA BARAT,https://shopee.co.id/Pupuk-Organik-Cair-Vit-O-Kemasan-Pabrik-5-Liter-Jepang-i.9816010.22121879358?sp_atk=41e6a12b-9327-4607-ade6-b3417b63d231&xptdk=41e6a12b-9327-4607-ade6-b3417b63d231
Pupuk Organik Cair Megarhizo 1 Liter,Rp62.500,556 Terjual,KAB. KLATEN,https://shopee.co.id/Pupuk-Organik-Cair-Megarhizo-1-Liter-i.221841982.4842340818?sp_atk=02d4c812-a2fc-4ec0-b593-a786ec4bce7a&xptdk=02d4c812-a2fc-4ec0-b593-a786ec4bce7a
Tanduria - Fruit Master 5 Liter Pupuk Organik Cair Buah Generatif,Rp179.000,67 Terjual,KOTA MALANG,https://shopee.co.id/Tanduria-Fruit-Master-5-Liter-Pupuk-Organik-Cair-Buah-Generatif-i.476834979.19356346346?sp_atk=c9458578-e26a-441b-a378-806125cbc842&xptdk=c9458578-e26a-441b-a378-806125cbc842
Pupuk Cair Yomari Golden Organik,Rp180.000,21 Terjual,KAB. INDRAMAYU,https://shopee.co.id/Pupuk-Cair-Yomari-Golden-Organik-i.7300664.19534155712?sp_atk=88e40dbb-77a8-46b8-ae94-77891c81eb8b&xptdk=88e40dbb-77a8-46b8-ae94-77891c81eb8b
Pupuk Organik Hayati Cair Untuk Kelapa Sawit - BIOPRISMA SAWIT,Rp70.000,,KOTA BOGOR,https://shopee.co.id/Pupuk-Organik-Hayati-Cair-Untuk-Kelapa-Sawit-BIOPRISMA-SAWIT-i.50483448.799016919?sp_atk=aafcc3f8-df74-4d6f-9981-ce43672613ab&xptdk=aafcc3f8-df74-4d6f-9981-ce43672613ab
Pupuk Organik Cair KILAT dari Catur Inti Persada isi 1 liter,Rp171.000,37 Terjual,KOTA SURABAYA,https://shopee.co.id/Pupuk-Organik-Cair-KILAT-dari-Catur-Inti-Persada-isi-1-liter-i.494641723.12115818808?sp_atk=cfff6efa-5f70-4868-9a37-93aba6584763&xptdk=cfff6efa-5f70-4868-9a37-93aba6584763
Pupuk Cair Organik Bio Solution ( Baca Deskripsi Terlebih Dahulu ) Ready,Rp215.000,1 Terjual,KOTA SURABAYA,https://shopee.co.id/Pupuk-Cair-Organik-Bio-Solution-(-Baca-Deskripsi-Terlebih-Dahulu-)-Ready-i.604423541.10496498535?sp_atk=fbaa448b-505e-4e00-95ef-f1ac219ba504&xptdk=fbaa448b-505e-4e00-95ef-f1ac219ba504
"Pupuk Organik Cair GDM Nutrisi Tanaman Buah, Sayur, dan Hias 1 Liter Original",Rp28.000 - Rp45.000,261 Terjual,KAB. KARANGANYAR,https://shopee.co.id/Pupuk-Organik-Cair-GDM-Nutrisi-Tanaman-Buah-Sayur-dan-Hias-1-Liter-Original-i.323006842.13651783479?sp_atk=173ba9ae-4ae3-45c0-b713-1b1e70119f98&xptdk=173ba9ae-4ae3-45c0-b713-1b1e70119f98
